Date,return
2007-08-31,-0.0008353854227285407
2007-09-30,0.04763930668030025
2007-10-31,0.04427557105741209
2007-11-30,-0.03762396324286166
2007-12-31,-0.027973376254910365
2008-01-31,-0.07387312261688883
2008-02-29,-0.010139516198336751
2008-03-31,0.0037816831621821922
2008-04-30,0.05376605550267932
2008-05-31,0.012055349382897429
2008-06-30,-0.086789569295455
2008-07-31,-0.034707583128881114
2008-08-31,-0.04005798277468464
2008-09-30,-0.11588764110896421
2008-10-31,-0.20557284170140433
2008-11-30,-0.06621327719377768
2008-12-31,0.09018540848508039
2009-01-31,-0.1401528389393526
2009-02-28,-0.10076225165294994
2009-03-31,0.08424897438629442
2009-04-30,0.11820924509731778
2009-05-31,0.13058660820133694
2009-06-30,-0.018219130409667605
2009-07-31,0.10574264120532773
2009-08-31,0.044964502027167175
2009-09-30,0.03939429125379901
2009-10-31,-0.02769691324444612
2009-11-30,0.04107959446976461
2009-12-31,0.007969037905888099
2010-01-31,-0.05438557611364381
2010-02-28,0.007420985597516028
2010-03-31,0.0629558964879604
2010-04-30,-0.02772947480300003
2010-05-31,-0.11527053864619419
2010-06-30,-0.018132635653897
2010-07-31,0.11662100528478314
2010-08-31,-0.03583497563402205
2010-09-30,0.09656939325481373
2010-10-31,0.04055600873674492
2010-11-30,-0.048997670272798666
2010-12-31,0.08446501383427996
2011-01-31,0.021576496105741638
2011-02-28,0.03655555311833236
2011-03-31,-0.02502130211965503
2011-04-30,0.06191290100107394
2011-05-31,-0.02700629209578198
2011-06-30,-0.012191959577121936
2011-07-31,-0.02389685253293372
2011-08-31,-0.08582207471385117
2011-09-30,-0.11330229401357894
2011-10-31,0.09757756027863618
2011-11-30,-0.020864760262665594
2011-12-31,-0.021372975278704298
2012-01-31,0.05615414897454696
2012-02-29,0.048840770401281874
2012-03-31,0.0032725476154598088
2012-04-30,-0.023802673004790886
2012-05-31,-0.11167958412865442
2012-06-30,0.06980658051508026
2012-07-31,0.002534152292731129
2012-08-31,0.03285931679911602
2012-09-30,0.026302825276324215
2012-10-31,0.010644513062489702
2012-11-30,0.02708402012819633
2012-12-31,0.04244188801130777
2013-01-31,0.03831957024382682
2013-02-28,-0.01148184241286554
2013-03-31,0.011920693774136959
2013-04-30,0.05215468762994857
2013-05-31,-0.029741498558545576
2013-06-30,-0.02795202768006333
2013-07-31,0.051966992899635356
2013-08-31,-0.0160218489234506
2013-09-30,0.07850533059205178
2013-10-31,0.032086841675427635
2013-11-30,0.006609508348730975
2013-12-31,0.018981720165924143
2014-01-31,-0.0520629443463958
2014-02-28,0.05947812490320925
2014-03-31,-0.0035341073297190384
2014-04-30,0.01574981958512489
2014-05-31,0.01765279630506189
2014-06-30,0.010356988957422875
2014-07-31,-0.023714484407917236
2014-08-31,0.0026453332224831705
2014-09-30,-0.04152770848132836
2014-10-31,-0.0035222064798082764
2014-11-30,0.0
2014-12-31,-0.037696986345038264
2015-01-31,0.007128100637083801
2015-02-28,0.06159850638222353
2015-03-31,-0.012183464059427052
2015-04-30,0.03866425394083928
2015-05-31,-0.0004833010864894183
2015-06-30,-0.02910799661229957
2015-07-31,0.014627903547683063
2015-08-31,-0.07233394858328823
2015-09-30,-0.040803476609077904
2015-10-31,0.06733985720888058
2015-11-30,-0.0076232132267343156
2015-12-31,-0.021336204359852284
2016-01-31,-0.05528338616205408
2016-02-29,-0.030844738158923635
2016-03-31,0.07190980206497288
2016-04-30,0.0231329273060914
2016-05-31,-0.0029967848713021716
2016-06-30,-0.02059689441006962
2016-07-31,0.04157233413691408
2016-08-31,0.0040725642288386155
2016-09-30,0.01637893480728736
2016-10-31,-0.024057796982194346
2016-11-30,-0.015064384082637772
2016-12-31,0.024485096754206293
2017-01-31,0.036672443989562264
2017-02-28,0.01055945769866895
2017-03-31,0.030584438694757132
2017-04-30,0.02213740492130878
2017-05-31,0.034104982959064056
2017-06-30,0.006373094356539877
2017-07-31,0.02879917749046368
2017-08-31,0.0002354583743313654
2017-09-30,0.025142971128143454
2017-10-31,0.01773767494447598
2017-11-30,0.008601229389149312
2017-12-31,0.01654150707863078
2018-01-31,0.04748082409552268
2018-02-28,-0.05107424845708286
2018-03-31,-0.003899105114783308
2018-04-30,0.012655060283905062
2018-05-31,-0.014282805642469532
2018-06-30,-0.01653247198043195
2018-07-31,0.022843855220602283
2018-08-31,-0.017319808453229224
2018-09-30,0.0071081834467427996
2018-10-31,-0.0859718637053325
2018-11-30,0.005057156521270922
2018-12-31,-0.05677644905458845
2019-01-31,0.0746632744687219
2019-02-28,0.023325885989340378
2019-03-31,0.0060167750899695616
2019-04-30,0.02838291253721814
2019-05-31,-0.05210586391928007
2019-06-30,0.05859361795976681
2019-07-31,-0.02037846129990306
2019-08-31,-0.018844817383574908
2019-09-30,0.03152301478024522
2019-10-31,0.03213237029074789
2019-11-30,0.013443227425655513
2019-12-31,0.035667147960228185
2020-01-31,-0.02995905366855789
2020-02-29,-0.07650939591902572
2020-03-31,-0.15152845267164816
2020-04-30,0.07018616743328066
2020-05-31,0.05577311088764603
2020-06-30,0.03497825345225758
2020-07-31,0.026295980292860843
2020-08-31,0.05174564817254357
2020-09-30,-0.017997488186528687
2020-10-31,-0.03545191938271508
2020-11-30,0.1429654547405963
2020-12-31,0.056300570197573174
2021-01-31,-0.0072018843728036686
2021-02-28,0.02432264113955318
2021-03-31,0.027684460538681677
2021-04-30,0.030543935490550345
2021-05-31,0.035763794387601244
2021-06-30,-0.009213692411332852
2021-07-31,0.005046383319192493
2021-08-31,0.013132622765381186
2021-09-30,-0.033855690420549145
2021-10-31,0.032283521507701085
2021-11-30,-0.04643122065992167
2021-12-31,0.043285722813607874
2022-01-31,-0.0385822206589308
2022-02-28,-0.026481659723872952
2022-03-31,0.006754175714278832
2022-04-30,-0.06787414873011521
2022-05-31,0.01652903778439696
2022-06-30,-0.09170043732904465
2022-07-31,0.052940868900195115
2022-08-31,-0.058193524712846
2022-09-30,-0.09860030570701439
2022-10-31,0.06078100833103117
2022-11-30,0.12548620424520185
2022-12-31,-0.02182493868595059
2023-01-31,0.09030242891370643
2023-02-28,-0.0347465305496677
2023-03-31,0.026485288483381053
2023-04-30,0.026344979296981874
2023-05-31,-0.03731668492394169
2023-06-30,0.04429005685726506
2023-07-31,0.03139894446865665
2023-08-31,-0.039471150603326066
2023-09-30,-0.03784760406194376
2023-10-31,-0.033851923606123546
2023-11-30,0.08806840923064119
2023-12-31,0.05588536984590187
2024-01-31,-0.010855914393721355
2024-02-29,0.02743760361891634
2024-03-31,0.03658453180645749
2024-04-30,-0.03408420180877125
2024-05-31,0.0466364951363849
2024-06-30,-0.016541716077422497
2024-07-31,0.03014974640575252
2024-08-31,0.02907092731797878
2024-09-30,0.010785583388743802
2024-10-31,-0.0513160706301522
2024-11-30,0.003992033074945889
2024-12-31,-0.03505984105411841
2025-01-31,0.04433295116436131
2025-02-28,0.022627134732819743
2025-03-31,-9.723609496747887e-05
2025-04-30,0.04013368785633786
2025-05-31,0.05125778661266489
2025-06-30,0.03388653657178464
2025-07-31,-0.013857202186546846
2025-08-31,0.04429029745561386
2025-09-30,0.02549790050189915
2025-10-31,0.017690295382783994
2025-11-30,0.009675280106346218
2025-12-31,0.037068960294134756
