Date,return
2005-04-30,-0.023305103027719043
2005-05-31,0.02906731323297329
2005-06-30,0.0345697194479091
2005-07-31,0.06968230975030609
2005-08-31,0.014285833289509275
2005-09-30,0.08225344183187366
2005-10-31,-0.056567837749785355
2005-11-30,0.06970754994220152
2005-12-31,0.06529374764439
2006-01-31,0.1162943124378728
2006-02-28,-0.021483192015809283
2006-03-31,0.011729157353681297
2006-04-30,0.07803196603198326
2006-05-31,-0.11291867491594543
2006-06-30,-0.0009320151063945126
2006-07-31,0.018512247120918257
2006-08-31,0.014815496992016008
2006-09-30,0.01053641303371089
2006-10-31,0.050789437734121146
2006-11-30,0.07328117602519568
2006-12-31,0.04011888141396125
2007-01-31,0.0007751407811436017
2007-02-28,-0.023240457295979122
2007-03-31,0.04256451664447414
2007-04-30,0.03803751609367545
2007-05-31,0.06656866565011876
2007-06-30,0.04546483472769425
2007-07-31,0.03516274342518333
2007-08-31,-0.00010574232682514229
2007-09-30,0.0983166497506538
2007-10-31,0.13008298564443033
2007-11-30,-0.08526589285129249
2007-12-31,-0.009455893699197748
2008-01-31,-0.09022048106338088
2008-02-29,0.02877019202133657
2008-03-31,-0.03677509407173696
2008-04-30,0.08433512870622462
2008-05-31,0.017849778790760107
2008-06-30,-0.09809202419911012
2008-07-31,-0.04722266652298812
2008-08-31,-0.07916551101264668
2008-09-30,-0.15586948139668844
2008-10-31,-0.2726486006198371
2008-11-30,-0.08647355778416888
2008-12-31,0.07653047206338282
2009-01-31,-0.089095937455974
2009-02-28,-0.023754527120132374
2009-03-31,0.12404624791742314
2009-04-30,0.17444806873527852
2009-05-31,0.17889430313500032
2009-06-30,-0.024524873509835565
2009-07-31,0.10905086114302143
2009-08-31,-0.007083900937210119
2009-09-30,0.09959975748704664
2009-10-31,-0.024136937467491237
2009-11-30,0.0718089299731961
2009-12-31,0.031177370427723616
2010-01-31,-0.0673166429227956
2010-02-28,0.018828373468325
2010-03-31,0.08187870265299968
2010-04-30,-0.0021352140790079632
2010-05-31,-0.09177346296583744
2010-06-30,-0.005497699076600915
2010-07-31,0.10213235735229054
2010-08-31,-0.025555490586932406
2010-09-30,0.11421605211740982
2010-10-31,0.031016238055707746
2010-11-30,-0.02837635070268163
2010-12-31,0.0756994531833668
2011-01-31,-0.03447591336597167
2011-02-28,-0.0017205957964484542
2011-03-31,0.05472942053985608
2011-04-30,0.03370826955985251
2011-05-31,-0.029446703975639976
2011-06-30,-0.009978016161393932
2011-07-31,-0.006170107652477719
2011-08-31,-0.09085277095962307
2011-09-30,-0.18438412394189418
2011-10-31,0.1590847758280396
2011-11-30,-0.017096145715252975
2011-12-31,-0.04161256904547572
2012-01-31,0.10782593485850867
2012-02-29,0.05433483040034237
2012-03-31,-0.02599172255699289
2012-04-30,-0.02093406779212259
2012-05-31,-0.10667321492735693
2012-06-30,0.05023682143826158
2012-07-31,0.0020036165410557416
2012-08-31,0.0024996016159795076
2012-09-30,0.05310254889024302
2012-10-31,-0.0055125139340467255
2012-11-30,0.012774072857863805
2012-12-31,0.07067083221309778
2013-01-31,0.0006735886816087167
2013-02-28,-0.023563859348855076
2013-03-31,-0.012664551800772417
2013-04-30,0.020046632438426526
2013-05-31,-0.05073095369535552
2013-06-30,-0.05354851158577967
2013-07-31,0.006960122879710706
2013-08-31,-0.0343059006680253
2013-09-30,0.07275004668575513
2013-10-31,0.043359111505156145
2013-11-30,-0.009314826565838041
2013-12-31,-0.002845508853179024
2014-01-31,-0.08434627442932852
2014-02-28,0.03238690046643211
2014-03-31,0.04627354134277639
2014-04-30,0.00887111790055295
2014-05-31,0.03102101920328093
2014-06-30,0.03173038440153331
2014-07-31,0.013680003510935679
2014-08-31,0.03842600542134278
2014-09-30,-0.07165791303846003
2014-10-31,0.022297264852183085
2014-11-30,-0.011022526556854872
2014-12-31,-0.04680322917969193
2015-01-31,-0.001998741226134193
2015-02-28,0.04656983724521169
2015-03-31,-0.02055324525372826
2015-04-30,0.07413780279590632
2015-05-31,-0.035535121839863404
2015-06-30,-0.025531428606918483
2015-07-31,-0.06262220692310927
2015-08-31,-0.09864293426073056
2015-09-30,-0.0288169510074342
2015-10-31,0.052886325278974855
2015-11-30,-0.02296227750194313
2015-12-31,-0.034367922456931876
2016-01-31,-0.057474387519132364
2016-02-29,-0.003243951759252517
2016-03-31,0.12720750740198405
2016-04-30,0.01012144418733718
2016-05-31,-0.03235056725257601
2016-06-30,0.049236398742099396
2016-07-31,0.051376637020276394
2016-08-31,0.007829723710182535
2016-09-30,0.020207417413020234
2016-10-31,0.0031885963109998805
2016-11-30,-0.040529782085153565
2016-12-31,-0.007382346937716444
2017-01-31,0.05757367840539884
2017-02-28,0.022463343746364606
2017-03-31,0.028448989079904674
2017-04-30,0.015609430645970201
2017-05-31,0.009915788256224412
2017-06-30,0.008504470709250533
2017-07-31,0.05339219571325238
2017-08-31,0.029992887626103082
2017-09-30,-0.0049517519457220605
2017-10-31,0.024329111258340363
2017-11-30,-0.0033611003104880854
2017-12-31,0.03705346569143497
2018-01-31,0.08560256948834377
2018-02-28,-0.053571486126522516
2018-03-31,-0.002091817474632496
2018-04-30,-0.02767152560924302
2018-05-31,-0.023423660283539482
2018-06-30,-0.04789495855610493
2018-07-31,0.039810333187757285
2018-08-31,-0.041932558743039694
2018-09-30,-0.013457370201458652
2018-10-31,-0.07658507187384811
2018-11-30,0.04833552865542878
2018-12-31,-0.033449733814228444
2019-01-31,0.09658752333335063
2019-02-28,-0.0038293149612123045
2019-03-31,0.023148018462481712
2019-04-30,0.02141242901383844
2019-05-31,-0.0638106031458997
2019-06-30,0.05371865284895705
2019-07-31,-0.018104895798517262
2019-08-31,-0.03256725130081706
2019-09-30,0.009109434256249438
2019-10-31,0.03949328663675278
2019-11-30,0.0050181921937679785
2019-12-31,0.07068833027976673
2020-01-31,-0.0553181464044884
2020-02-29,-0.03546768731870231
2020-03-31,-0.1704678502076179
2020-04-30,0.0780927812395078
2020-05-31,0.032899716204771945
2020-06-30,0.06477207651354688
2020-07-31,0.08583661436669043
